category,sub_category,category_code,category_description,material_code,material_description
FF,FF TOP MOUNT,20004254,IF INV CNV 305 STEEL ONYX,21604,IF INV CNV 305 STEEL ONYX (2S)-N
FF,FF TOP MOUNT,20004255,NEO INV 278GD CRYSTAL BLA,21605,NEO INV 278GD Crystal BLACK(3S)-N
FF,FF TOP MOUNT,20004256,NEO INV 278GD GALAXY(3S)-,21606,NEO INV 278GD Galaxy(3S)-N
FF,FF TOP MOUNT,20004257,IF INV CNV 455 OMEGA STEE,21607,IF INV CNV 455 OMEGA STEEL (2S)-N
FF,FF TOP MOUNT,20004258,IF INV CNV 455 STEEL ONYX,21609,IF INV CNV 455 STEEL ONYX (2S)-N
FF,FF TOP MOUNT,20004259,NEO INV SP455 STEEL ONYX,21610,NEO INV SP455 Steel Onyx (2S)-N
FF,FF TOP MOUNT,20004052,NEO DF278 PRM ARCTIC STL,21241,NEO INV DF278 PRM ARCTIC STEEL (3S)-N
FF,FF TOP MOUNT,20004279,NEO 278LH CLS PLS MULIA (,21654,NEO 278LH CLS PLUS SAPPHIRE MULIA (2S)-N
FF,FF TOP MOUNT,20004279,NEO 278LH CLS PLS MULIA (,21655,NEO 278LH CLS PLUS WINE MULIA (2S)-N
FF,FF TOP MOUNT,20004281,NEO DF278 PRM CHROM BLACK,21658,NEO DF278 PRM CHROMIUM BLACK (2S)-N
FF,FF TOP MOUNT,20004282,NEO DF278 PRM CHROM STEL,21659,NEO DF278 PRM CHROMIUM STEEL (2S)-N
FF,FF TOP MOUNT,20004283,IF INV CNV 305 ARCTIC STE,21660,IF INV CNV 305 ARCTIC STEEL (2S)-N
FF,FF TOP MOUNT,20004293,IF INV ELT 278 ILLUSIA ST,21670,IF INV ELT DF278 ILLUSIA STEEL(2S)-TL
FF,FF TOP MOUNT,20004294,IF INV ELT 278GD CRYSTAL,21671,IF INV ELT 278GD CRYSTAL BLACK (2S)-TL
FF,FF TOP MOUNT,20004295,IF INV ELT 278LH WINE VIO,21672,IF INV ELT 278LH WINE VIOLA(2S)-TL
FF,FF TOP MOUNT,20004310,IF INV ELT 355 ILLUSIA ST,21687,IF INV ELT DF355 ILLUSIA STEEL(2S)-TL
FF,FF TOP MOUNT,20004312,IF INV ELT 375 ILLUSIA ST,21689,IF INV ELT DF375 ILLUSIA STEEL(2S)-TL
FF,FF TOP MOUNT,20004308,IFPRO BM INV ELT+ 370 OME,21685,IFPRO BM INV ELT+ 370 OMEGA STEEL (3S)-Z
FF,FF 3 DOOR,222008,NF CUFT,21696,FP 263D PROTTON ROY ALPHA STEEL-CUFT DV
FF,FF 3 DOOR,222008,NF CUFT,21697,FP 283D PROTTON ROY ALPHA STEEL-CUFT DV
FF,FF 3 DOOR,222008,NF CUFT,21698,FP 313D PROTTON ROY ALPHA STEEL-CUFT DV
FF,FF 3 DOOR,222008,NF CUFT,21699,FP 343D PROTTON ROY ALPHA STEEL-CUFT DV
FF,FF TOP MOUNT,20004319,IF INV CNV PLT 455 ALPHA,21700,IF INV CNV PLATINA 455 ALPHA STEEL(2s)-N
FF,FF TOP MOUNT,20004320,NEO 258LH ROY PEONY(1S)-T,21702,NEO 258LH ROY Purple Peony(1S)-TL
FF,FF TOP MOUNT,20004324,NEO 258LH ROY VIOLA(1S)-T,21708,NEO 258LH ROY Purple Viola(1S)-TL
FF,FF TOP MOUNT,20004324,NEO 258LH ROY VIOLA(1S)-T,21709,NEO 258LH ROY Sapphire Viola(1S)-TL
FF,FF TOP MOUNT,20004324,NEO 258LH ROY VIOLA(1S)-T,21710,NEO 258LH ROY Wine Viola(1S)-TL
FF,FF TOP MOUNT,20004325,NEO DF258 ROY ARTEMIS STL,21711,NEO DF258 ROY ARTEMIS STEEL(1S)-TL
FF,FF TOP MOUNT,20004326,NEO DF258 ROY GEMINI STL(,21712,NEO DF258 ROY Gemini STEEL(1S)-TL
FF,FF TOP MOUNT,20004327,NEO DF258 ROY MGNM STL(1S,21713,NEO DF258 ROY MAGNUM STEEL(1S)-TL
FF,FF TOP MOUNT,20004328,NEO DF258 ROY PLT STL(1S),21714,NEO DF258 ROY Platinum STEEL(1S)-TL
FF,FF TOP MOUNT,20004345,NEO 278LH CLS PLS MDNGT A,21741,NEO 278LH CLS PLS Midnight Athena(1S)-TL
FF,FF TOP MOUNT,20004346,NEO 278LH PRM PEONY(1S)-T,21742,NEO 278LH PRM Purple Peony(1S)-TL
FF,FF TOP MOUNT,20004346,NEO 278LH PRM PEONY(1S)-T,21743,NEO 278LH PRM Sapphire Peony(1S)-TL
FF,FF TOP MOUNT,20004347,IF INV ELT 278LH PEONY(2S,21744,IF INV ELT 278LH Purple Peony(2S)-TL
FF,FF TOP MOUNT,20004348,IF INV ELT 278LH VIOLA(2S,21746,IF INV ELT 278LH Purple Viola(2S)-TL
FF,FF TOP MOUNT,20004347,IF INV ELT 278LH PEONY(2S,21745,IF INV ELT 278LH Sapphire Peony(2S)-TL
